DATE,Black Unemployment,UNRATE,Time
1972-01-31,2.4159137783010487,0.5640959754919254,0.0
1972-02-29,2.4159137783010487,0.5541529939182037,0.6931471805599453
1972-03-31,2.3702437414678603,0.5640959754919254,1.0986122886681098
1972-04-30,2.2823823856765264,0.5541529939182037,1.3862943611198906
1972-05-31,2.322387720290225,0.5541529939182037,1.6094379124341003
1972-06-30,2.322387720290225,0.5541529939182037,1.791759469228055
1972-07-31,2.3513752571634776,0.543931485654338,1.9459101490553132
1972-08-31,2.3608540011180215,0.543931485654338,2.0794415416798357
1972-09-30,2.341805806147327,0.5334173533321656,2.1972245773362196
1972-10-31,2.3608540011180215,0.543931485654338,2.302585092994046
1972-11-30,2.302585092994046,0.5114495214362034,2.3978952727983707
1972-12-31,2.2407096892759584,0.4999620030965649,2.4849066497880004
1973-01-31,2.2082744135228043,0.46325289744172116,2.5649493574615367
1973-02-28,2.2512917986064953,0.47588499532711054,2.6390573296152584
1973-03-31,2.2407096892759584,0.46325289744172116,2.70805020110221
1973-04-30,2.2925347571405443,0.47588499532711054,2.772588722239781
1973-05-31,2.2617630984737906,0.46325289744172116,2.833213344056216
1973-06-30,2.2823823856765264,0.46325289744172116,2.8903717578961645
1973-07-31,2.2823823856765264,0.45019364959260366,2.9444389791664403
1973-08-31,2.2192034840549946,0.45019364959260366,2.995732273553991
1973-09-30,2.272125885509337,0.45019364959260366,3.044522437723423
1973-10-31,2.174751721484161,0.4226868283120583,3.091042453358316
1973-11-30,2.2300144001592104,0.45019364959260366,3.1354942159291497
1973-12-31,2.1972245773362196,0.46325289744172116,3.1780538303479458
1974-01-31,2.2512917986064953,0.48811397969533005,3.2188758248682006
1974-02-28,2.2823823856765264,0.4999620030965649,3.258096538021482
1974-03-31,2.2823823856765264,0.48811397969533005,3.295836866004329
1974-04-30,2.2512917986064953,0.48811397969533005,3.332204510175204
1974-05-31,2.272125885509337,0.48811397969533005,3.367295829986474
1974-06-30,2.312535423847214,0.5225954588537013,3.4011973816621555
1974-07-31,2.341805806147327,0.5334173533321656,3.4339872044851463
1974-08-31,2.2925347571405443,0.5334173533321656,3.4657359027997265
1974-09-30,2.379546134130174,0.5737735780102541,3.4965075614664802
1974-10-31,2.4423470353692043,0.5831980807826592,3.5263605246161616
1974-11-30,2.517696472610991,0.6350251756323279,3.5553480614894135
1974-12-31,2.5726122302071057,0.6801029867859266,3.58351893845611
1975-01-31,2.6461747973841225,0.7380555640141299,3.6109179126442243
1975-02-28,2.667228206581955,0.7380555640141299,3.6375861597263857
1975-03-31,2.714694743820879,0.7662871358498089,3.6635616461296463
1975-04-30,2.72785282839839,0.7769145069831563,3.6888794541139363
1975-05-31,2.714694743820879,0.7871950081766445,3.713572066704308
1975-06-30,2.70805020110221,0.7769145069831563,3.7376696182833684
1975-07-31,2.6461747973841225,0.7662871358498089,3.7612001156935624
1975-08-31,2.7212954278522306,0.7552914498795933,3.784189633918261
1975-09-30,2.7343675094195836,0.7552914498795933,3.8066624897703196
1975-10-31,2.7013612129514133,0.7552914498795933,3.828641396489095
1975-11-30,2.681021528714291,0.7496482603933199,3.8501476017100584
1975-12-31,2.6741486494265287,0.7439040543780528,3.871201010907891
1976-01-31,2.6602595372658615,0.7260318824977268,3.8918202981106265
1976-02-29,2.667228206581955,0.7135478294269664,3.912023005428146
1976-03-31,2.6026896854443837,0.7071231832999884,3.9318256327243257
1976-04-30,2.624668592163159,0.7135478294269664,3.9512437185814275
1976-05-31,2.580216829592325,0.6938869069999295,3.970291913552122
1976-06-30,2.6602595372658615,0.7071231832999884,3.9889840465642745
1976-07-31,2.631888840136646,0.7198493500500933,4.007333185232471
1976-08-31,2.6602595372658615,0.7198493500500933,4.02535169073515
1976-09-30,2.617395832834079,0.7071231832999884,4.04305126783455
1976-10-31,2.631888840136646,0.7135478294269664,4.060443010546419
1976-11-30,2.6390573296152584,0.7198493500500933,4.07753744390572
1976-12-31,2.6461747973841225,0.7198493500500933,4.0943445622221
1977-01-31,2.624668592163159,0.7005710654772761,4.110873864173311
1977-02-28,2.653241964607215,0.7071231832999884,4.127134385045092
1977-03-31,2.631888840136646,0.6938869069999295,4.143134726391533
1977-04-30,2.5494451709255714,0.6801029867859266,4.1588830833596715
1977-05-31,2.6026896854443837,0.6657298105782764,4.174387269895637
1977-06-30,2.631888840136646,0.6801029867859266,4.189654742026425
1977-07-31,2.631888840136646,0.6583079885420274,4.204692619390966
1977-08-31,2.714694743820879,0.6657298105782764,4.219507705176107
1977-09-30,2.6741486494265287,0.6507210940165463,4.23410650459726
1977-10-31,2.6741486494265287,0.6507210940165463,4.248495242049359
1977-11-30,2.6878474937846906,0.6507210940165463,4.2626798770413155
1977-12-31,2.6100697927420065,0.618584176630303,4.276666119016055
1978-01-31,2.631888840136646,0.618584176630303,4.290459441148391
1978-02-28,2.5726122302071057,0.610064240817791,4.30406509320417
1978-03-31,2.5726122302071057,0.610064240817791,4.31748811353631
1978-04-30,2.5572273113676265,0.5923809677889341,4.330733340286331
1978-05-31,2.5649493574615367,0.5831980807826592,4.343805421853684
1978-06-30,2.5494451709255714,0.5737735780102541,4.356708826689592
1978-07-31,2.5649493574615367,0.6013329932743064,4.3694478524670215
1978-08-31,2.509599262378372,0.5737735780102541,4.382026634673881
1978-09-30,2.4765384001174837,0.5831980807826592,4.394449154672439
1978-10-31,2.468099531471619,0.5640959754919254,4.406719247264253
1978-11-30,2.5416019934645457,0.5737735780102541,4.418840607796598
1978-12-31,2.517696472610991,0.5831980807826592,4.430816798843313
